名称;类别;编号;通径;内径(mm);外径（mm）;最低工作温度（℃）;最高工作温度（℃）;工作压力（Bar）;爆破压力（Bar）;真空压力（Bar）;弯曲半径（mm）
HF食品级橡胶管;橡胶软管;19RH01;DN19;19;30;-30;100;10;30;-0.9;80
HF食品级橡胶管;橡胶软管;25RH01;DN25;25;36;-30;100;10;30;-0.9;100
HF食品级橡胶管;橡胶软管;32RH01;DN32;32;45;-30;100;10;30;-0.9;140
HF食品级橡胶管;橡胶软管;38RH01;DN38;38;50;-30;100;10;30;-0.9;160
HF食品级橡胶管;橡胶软管;51RH01;DN51;51;64;-30;100;10;30;-0.9;200
HF食品级橡胶管;橡胶软管;64RH01;DN64;64;77;-30;100;10;30;-0.9;240
HF食品级橡胶管;橡胶软管;76RH01;DN76;76;90;-30;100;10;30;-0.9;320
HF食品级橡胶管;橡胶软管;102RH01;DN102;102;113;-30;100;10;30;-0.9;400
OFP食品级橡胶管;橡胶软管;19RH02;DN19;19;31;-30;120;16;48;-0.9;50
OFP食品级橡胶管;橡胶软管;25RH02;DN25;25;38;-30;120;16;48;-0.9;75
OFP食品级橡胶管;橡胶软管;32RH02;DN32;32;44;-30;120;16;48;-0.9;90
OFP食品级橡胶管;橡胶软管;38RH02;DN38;38;51;-30;120;16;48;-0.9;100
OFP食品级橡胶管;橡胶软管;51RH02;DN51;51;66;-30;120;16;48;-0.9;150
OFP食品级橡胶管;橡胶软管;64RH02;DN64;64;79;-30;120;16;48;-0.9;180
OFP食品级橡胶管;橡胶软管;76RH02;DN76;76;93;-30;120;16;48;-0.9;225
OFP食品级橡胶管;橡胶软管;89RH02;DN89;89;107;-30;120;16;48;-0.9;300
OFP食品级橡胶管;橡胶软管;102RH02;DN102;102;120;-30;120;16;48;-0.9;400
FCS食品级热水管;橡胶软管;10RH03;DN10;10;18;-30;100;20;60;-0.9;70
FCS食品级热水管;橡胶软管;13RH03;DN13;13;22;-30;100;20;60;-0.9;90
FCS食品级热水管;橡胶软管;16RH03;DN16;16;25;-30;100;20;60;-0.9;100
FCS食品级热水管;橡胶软管;19RH03;DN19;19;30;-30;100;20;60;-0.9;125
FCS食品级热水管;橡胶软管;25RH03;DN25;25;37;-30;100;20;60;-0.9;150
FCS食品级热水管;橡胶软管;32RH03;DN32;32;45;-30;100;20;60;-0.9;180
FCS食品级热水管;橡胶软管;38RH03;DN38;38;52;-30;100;20;60;-0.9;210
FCS食品级热水管;橡胶软管;51RH03;DN51;51;66;-30;100;20;60;-0.9;275
UPEX导电UPE化学管;橡胶软管;19RH04;DN19;19;31;-30;100;16;48;-0.9;95
UPEX导电UPE化学管;橡胶软管;25RH04;DN25;25;37;-30;100;16;48;-0.9;125
UPEX导电UPE化学管;橡胶软管;32RH04;DN32;32;44;-30;100;16;48;-0.9;160
UPEX导电UPE化学管;橡胶软管;38RH04;DN38;38;51;-30;100;16;48;-0.9;190
UPEX导电UPE化学管;橡胶软管;51RH04;DN51;51;67;-30;100;16;48;-0.9;255
UPEX导电UPE化学管;橡胶软管;64RH04;DN64;64;79;-30;100;16;48;-0.9;315
UPEX导电UPE化学管;橡胶软管;76RH04;DN76;76;92;-30;100;16;48;-0.9;380
UPEX导电UPE化学管;橡胶软管;102RH04;DN102;102;118;-30;100;16;48;-0.9;510
UAC超柔导电化学管;橡胶软管;19RH05;DN19;19;31;-30;100;16;48;-0.9;90
UAC超柔导电化学管;橡胶软管;25RH05;DN25;25;37;-30;100;16;48;-0.9;120
UAC超柔导电化学管;橡胶软管;32RH05;DN32;32;44;-30;100;16;48;-0.9;140
UAC超柔导电化学管;橡胶软管;38RH05;DN38;38;51;-30;100;16;48;-0.9;150
UAC超柔导电化学管;橡胶软管;45RH05;DN45;45;60;-30;100;16;48;-0.9;200
UAC超柔导电化学管;橡胶软管;51RH05;DN51;51;66;-30;100;16;48;-0.9;210
UAC超柔导电化学管;橡胶软管;57RH05;DN57;57;72;-30;100;16;48;-0.9;220
UAC超柔导电化学管;橡胶软管;64RH05;DN64;64;78;-30;100;16;48;-0.9;240
UAC超柔导电化学管;橡胶软管;76RH05;DN76;76;92;-30;100;16;48;-0.9;300
UAC超柔导电化学管;橡胶软管;102RH05;DN102;102;119;-30;100;16;48;-0.9;400
UAC超柔导电化学管;橡胶软管;127RH05;DN127;127;145;-30;100;16;48;-0.8;500
UAC超柔导电化学管;橡胶软管;152RH05;DN152;152;175;-30;100;16;48;-0.8;800
PLCT橡胶特氟龙软管;橡胶软管;13RH06;DN13;13;25;-40;170;36;108;-0.9;150
PLCT橡胶特氟龙软管;橡胶软管;19RH06;DN19;19;31;-40;170;35;105;-0.9;187.5
PLCT橡胶特氟龙软管;橡胶软管;25RH06;DN25;25;37;-40;170;31;93;-0.9;225
PLCT橡胶特氟龙软管;橡胶软管;32RH06;DN32;32;44;-40;170;28;84;-0.9;262.5
PLCT橡胶特氟龙软管;橡胶软管;38RH06;DN38;38;51;-40;170;24;72;-0.9;337.5
PLCT橡胶特氟龙软管;橡胶软管;51RH06;DN51;51;66;-40;170;21;63;-0.9;412.5
PTH橡胶PTFE软管;橡胶软管;19RH07;DN19;19;31;-40;150;16;48;-0.9;120
PTH橡胶PTFE软管;橡胶软管;25RH07;DN25;25;37;-40;150;16;48;-0.9;150
PTH橡胶PTFE软管;橡胶软管;32RH07;DN32;32;44;-40;150;16;48;-0.9;200
PTH橡胶PTFE软管;橡胶软管;38RH07;DN38;38;51;-40;150;16;48;-0.9;250
PTH橡胶PTFE软管;橡胶软管;51RH07;DN51;51;66;-40;150;16;48;-0.9;300
PTH橡胶PTFE软管;橡胶软管;64RH07;DN64;64;78;-40;150;16;48;-0.9;400
PTH橡胶PTFE软管;橡胶软管;76RH07;DN76;76;92;-40;150;16;48;-0.9;500
